country,life_expectancy,hdi,per_capita_gdp,region,income_group,pop,total_prod,total_cons,number_of_countries_required,number_of_earths_required,overshoot_day
Paraguay,74.131,0.727,5379.589473025855,South America,LM,6.95606982421875,5.55235909343286,3.06994980717628,0.30504920082055537,1.9397849842673687,188
Serbia,75.8902,0.803,5471.835505949833,Other Europe,UM,8.802750000000021,3.35522117231874,3.07051248737564,1.8271117938349744,1.9401405205693345,188
Suriname,71.57,0.734,8100.331740316328,South America,UM,0.575989990234375,3.54093092013622,3.06456705191719,0.03812906136662263,1.93638382513403,188
Lebanon,78.875,0.747,6204.862959130629,Middle East/Central Asia,UM,6.859410156249989,1.58129070306558,2.96371720280731,11.706991794537396,1.8726606259756335,194
Panama,78.329,0.812,11755.11773707277,Central America/Caribbean,UM,4.1768701171875,2.17546994546962,2.92308214250678,1.162790056512784,1.8469848707494372,197
Tonga,70.801,0.723,4377.67576717754,Asia-Pacific,LM,0.103196998596191,1.00229977503106,2.92057652446973,2.700952899842728,1.845401665632136,197
Fiji,67.341,0.742,4794.682114005652,Asia-Pacific,UM,0.883482971191405,1.90871773062533,2.66732846842792,1.1390093466582083,1.6853838128136724,216
Samoa,73.187,0.709,3753.968093695815,Asia-Pacific,LM,0.196128997802734,1.48721731491201,2.65161383078762,1.5206131627597013,1.675454328606276,217
Brazil,75.672,0.762,11075.624555423476,South America,UM,209.469,3.63403939956588,2.58795918509511,0.30059830704176044,1.6352333694216818,223
Grenada,72.384,0.773,9091.732718056886,Central America/Caribbean,UM,0.11145400238037,1.69506994341453,2.53614198227368,1.2087495546062632,1.6024920419495563,227
Mauritania,64.704,0.542,1703.8636616918193,Africa,LM,4.403310058593769,2.48420564397966,2.51663522644664,0.6418380388067564,1.590166461916746,229
Namibia,63.373,0.645,5942.2863659883715,Africa,UM,2.44830004882812,4.35697183909589,2.51005260999122,0.39705810499030264,1.5860071559477797,230
Dominica,NA,0.738,6696.54450261782,Central America/Caribbean,UM,0.0716249999999998,1.31845819580782,2.45839865678177,2.1552132985114074,1.5533689797210808,234
Eswatini,59.401,0.605,4761.590330288579,Africa,LM,1.1362800292968702,2.29108168788843,2.46389554676487,2.576228350845385,1.5568422562627564,234
Costa Rica,80.095,0.808,9936.593014862094,Central America/Caribbean,UM,4.99943994140626,1.7590722821037,2.44624710569229,1.6281564943898794,1.5456908749247642,236
Djibouti,66.582,0.518,NA,Africa,LM,0.958922973632809,0.907752246382297,2.43838824586951,3.4147963584696273,1.5407251591198816,236
Ukraine,71.5827,0.774,2960.706282416397,Other Europe,LM,44.2461992187498,3.7954209698844,2.42277288986665,0.8848259024718033,1.530858407218098,238
"Venezuela, Bolivarian Republic of",72.128,0.733,NA,South America,UM,28.887099609375,2.28964406653277,2.39161236459477,0.8663802126235832,1.5111692517527604,241
Mexico,74.992,0.776,10381.088984158934,North America,UM,126.191,2.05239526310448,2.38246197307718,2.0634455836027787,1.505387465997014,242
Botswana,69.275,0.73,8032.891370222135,Africa,UM,2.2540700683593697,1.88333069741829,2.36925585659503,0.717465129650349,1.4970430212791628,243
Peru,76.516,0.771,6439.653101787837,South America,UM,31.9893007812499,2.14559849627081,2.35744709916995,0.6555305512777008,1.4895815148133307,245
Thailand,76.931,0.772,6366.26169368487,Asia-Pacific,UM,69.4285,2.50953386870735,2.3523667430519,1.8511382059635366,1.4863714302414306,245
Algeria,76.693,0.746,4759.830053642441,Africa,UM,42.2283984375,1.68418168991186,2.34090871533432,4.112872099457758,1.4791315365910767,246
Georgia,73.6,0.805,4407.485562674211,Middle East/Central Asia,LM,4.00293994140625,1.55744382907463,2.3199085753344,1.8359150888576536,1.4658623436732856,249
Viet Nam,75.317,0.7,1967.638624327549,Asia-Pacific,LM,95.546,2.01973810860501,2.27214566948676,2.4214689172124935,1.435682772869994,254
Saint Lucia,76.057,0.758,9237.391651436337,Central America/Caribbean,UM,0.181889007568359,0.929174538131752,2.26378623559396,7.063886678949117,1.43040076327351,255
Azerbaijan,72.864,0.754,5795.021656642627,Middle East/Central Asia,UM,9.94954003906248,1.79671483266379,2.06007477762662,2.6170933891880104,1.301683210183702,280
Uzbekistan,71.573,0.717,2408.6100554167856,Middle East/Central Asia,LM,32.47619921875,1.78576446089254,2.03836685222411,3.094387162548698,1.2879667944830435,283
El Salvador,73.096,0.67,3507.0513569287077,Central America/Caribbean,LM,6.42075,1.22131608150367,2.02803597491008,3.443050337552016,1.281439104472862,284
Equatorial Guinea,58.402,0.582,10134.6862776952,Africa,HI,1.3089699707031202,2.4722573738001,2.02174458093,0.6023587917452923,1.2774638109536842,285
Tunisia,76.505,0.738,4408.371592275959,Africa,UM,11.5652001953125,1.50267738867829,2.02437961501041,2.9529541529251806,1.2791287891661172,285
Ghana,63.78,0.606,1808.3286818796112,Africa,LM,29.7670996093749,1.8934665135753601,2.00466453177694,1.5423241255771192,1.2666715749372492,288
Gabon,66.187,0.697,9051.324193338467,Africa,UM,2.1192700195312404,1.62934480611239,1.95333933753514,0.10322443074459718,1.2342411290478346,295
Armenia,74.945,0.771,4406.741763360718,Middle East/Central Asia,LM,2.95175,1.25129321611811,1.90039211653785,3.084469011646841,1.200785785898854,303
Albania,78.458,0.792,5046.032611084467,Other Europe,UM,2.88273999023438,1.42111383275061,1.88645802312157,1.9003434044568563,1.1919813601342713,306
French Guiana,NA,NA,NA,South America,NA,0.28293798828125,1.33521421078678,1.8784179549969,0.02038658105294185,1.1869011456681375,307
Republic of Moldova,71.808,0.746,2355.723465310615,Other Europe,LM,4.05193994140624,1.98599000498295,1.86865876059607,1.5000959639485993,1.180734680433747,309
Colombia,77.109,0.764,7692.1527959566165,South America,UM,49.660999999999795,1.55137374896817,1.85662795631671,0.5398607512963831,1.1731328709724949,311
Guinea,61.185,0.473,897.1186595473429,Africa,LI,12.4142998046874,1.580776328977,1.84401591536262,0.8959168552327986,1.1651638000754658,313
Lao People's Democratic Republic,67.61,0.609,1785.5813301256514,Asia-Pacific,LM,7.061509765625019,2.30445501248716,1.83988683431227,1.084273378162803,1.1625547901816984,313
Cabo Verde,72.782,0.663,3740.0024132685367,Africa,LM,0.5437670288085931,1.60858089824442,1.83415222311775,3.8668141896706705,1.1589313066121174,314
Egypt,71.825,0.701,2905.807097684674,Africa,LM,98.4236015624997,1.30928931544227,1.83631018042192,5.021218075770594,1.160294838082741,314
Guatemala,74.063,0.657,3164.1773169903868,Central America/Caribbean,LM,17.2478007812499,1.50288594330352,1.81983236915158,1.8867739262201433,1.1498831333698234,317
Dominican Republic,73.892,0.751,7697.772958468685,Central America/Caribbean,UM,10.627099609375,1.32866641660024,1.7688437851294,2.6487936882152154,1.117665378726384,326
Solomon Islands,72.835,0.564,1773.6962451604008,Asia-Pacific,LI,0.652856994628909,6.65272387179335,1.77170506111888,0.4882721373210568,1.1194733106304378,326
Iraq,70.454,0.671,5463.968804966208,Middle East/Central Asia,LM,38.4336015624999,1.28797820189598,1.76433104717128,11.297145323356533,1.1148139505666688,327
Cuba,78.726,0.781,6816.918413390201,Central America/Caribbean,UM,11.338099609374899,1.25655303561614,1.76110462900539,2.291662239096155,1.1127752991540198,328
Jordan,74.405,0.728,3306.6573844763175,Middle East/Central Asia,UM,9.96532031250001,0.996567138260831,1.75705586006581,11.663043797498638,1.1102170354405851,328
Morocco,76.453,0.68,3413.9069437141293,Africa,LM,36.0291015624999,1.44355960052128,1.75355419346778,2.223760578895027,1.1080044649709015,329
Papua New Guinea,64.263,0.549,2397.656518782972,Asia-Pacific,LM,8.60632031250003,2.26981047099739,1.72218038757873,0.5026364960768007,1.0881805455632825,335
Indonesia,71.509,0.712,4296.318988609167,Asia-Pacific,LM,267.67099999999897,1.85770950370426,1.71718105086577,1.3845490879212146,1.0850216540842013,336
Ecuador,76.8,0.762,5180.585679118625,South America,UM,17.0844003906249,2.26600109126402,1.70246786871039,0.9027882007146573,1.0757249516595944,339
Myanmar,66.867,0.579,1573.1497509877759,Asia-Pacific,LI,53.70830078125,1.66271133521635,1.65817147792252,0.8902281875419975,1.0477357404006054,348
Chad,53.977,0.397,812.019863507005,Africa,LI,15.4777001953125,1.64219504557841,1.65132586091452,0.9689950757135046,1.043410254345712,349
Jamaica,74.368,0.734,4855.273532157433,Central America/Caribbean,UM,2.9348500976562404,1.25111376918057,1.63385581569761,3.902393556985827,1.0323715945907486,353
Mali,58.893,0.431,778.7259789376953,Africa,LI,19.07769921875,1.57171242895769,1.62903459654198,0.8686967558144394,1.0293252488485178,354
South Sudan,57.604,0.429,NA,Africa,LM,10.975900390625,1.57531808504632,1.61171800903303,0.9323227834396476,1.0183835532057774,358
Benin,61.47,0.541,1211.3191118850782,Africa,LI,11.4849999999999,1.20644484906531,1.60743926539129,1.7475463823849773,1.0156799771901777,359
Afghanistan,64.486,0.509,564.6173825447371,Middle East/Central Asia,LI,37.171898437499905,0.467987142414086,0.68225535150769,2.0069700618082815,0.4310913107429446,365
Angola,60.782,0.582,3233.902767090789,Africa,LM,30.809800781249898,0.679229291525279,0.861844672530626,0.469218464380322,0.5445669993163311,365
Bangladesh,72.32,0.625,1202.1539624605737,Asia-Pacific,LI,161.377,0.633987688552084,0.903894227337054,2.1787517009451705,0.571136520035519,365
Burkina Faso,61.174,0.443,800.3139002101107,Africa,LI,19.7515,1.15658854175094,1.26128620558268,1.2628128085956545,0.7969589720110887,365
Burundi,61.247,0.431,210.80408018099374,Africa,LI,11.1754003906249,0.787793800090782,0.83346031742015,1.52814526904989,0.5266320006063497,365
Cambodia,69.57,0.585,1202.6240467505759,Asia-Pacific,LI,16.2497998046875,1.31457309109297,1.50140806941894,1.2557840496321815,0.9486828812343137,365
Cameroon,58.921,0.56,1502.1672024219145,Africa,LM,25.2163007812501,1.12723533275684,1.21383126104417,0.761473136371368,0.7669739902925401,365
Central African Republic,52.805,0.395,379.36553585401447,Africa,LI,4.66637011718751,1.2084406384474,1.20382895244355,0.16033548097057468,0.7606539104051959,365
Comoros,64.118,0.552,1402.7383270693822,Africa,LI,0.8323220214843761,0.889176856266902,1.19337515186407,3.3899088306068585,0.7540485498402777,365
Congo,64.29,0.573,2303.979954655527,Africa,LM,5.24435986328125,0.940286261541616,1.02807457935432,0.11712467313230582,0.6496013801518122,365
"Congo, Democratic Republic of",60.368,0.478,418.9888833615827,Africa,LI,84.0681015625,0.714856578413318,0.782028604468426,0.36212745082451125,0.49413424957938157,365
Côte d'Ivoire,57.422,0.534,1667.9431853860758,Africa,LM,25.06919921875,1.60358572808756,1.39638284371307,0.7807593476239404,0.8823214197806739,365
Eritrea,65.941,0.456,NA,Africa,LI,3.4527900390625,0.731990265606631,0.814664536855055,0.361337864459309,0.5147556589076914,365
Ethiopia,66.24,0.478,570.6548011426061,Africa,LI,109.224,0.959136227892913,1.02052428088345,1.8290493504282441,0.6448306325759743,365
Gambia,61.735,0.487,791.4555699285903,Africa,LI,2.28009008789062,0.500454199033396,1.04073733414734,2.0176391329413867,0.6576024952024694,365
Guinea-Bissau,58.003,0.472,622.6911218028902,Africa,LI,1.8743000488281298,1.48309229271085,1.4670419397543,0.5503076435947025,0.9269682257910802,365
Haiti,63.66,0.508,1282.238901535785,Central America/Caribbean,LI,11.1232001953124,0.403257734310562,0.637337939951594,2.5848602611669564,0.402709699986639,365
Honduras,75.088,0.633,2219.437460402829,Central America/Caribbean,LM,9.58751953124999,1.37107324839205,1.57455470561186,0.9065755461552878,0.9949014696311067,365
India,69.416,0.642,2084.8119233498937,Asia-Pacific,LM,1352.64,1.15820195331418,1.20955650138726,2.714637659762175,0.7642729316060293,365
Kenya,66.342,0.599,1201.4764406294476,Africa,LI,51.3926015625001,0.791743040957056,1.00210909403882,2.13815470257156,0.6331947736312485,365
"Korea, Democratic People's Republic of",72.095,NA,NA,Asia-Pacific,LI,25.5495996093751,1.10302316266864,1.16618731085851,2.0907180544552415,0.7368695830656571,365
Kyrgyzstan,71.4,0.696,1094.1160234110562,Middle East/Central Asia,LI,6.3040297851562395,1.32259964489552,1.54155172869091,1.2831548622278817,0.9740481387663048,365
Lesotho,53.705,0.522,1374.5143751765984,Africa,LM,2.10833007812499,1.30100623536104,1.54414362650729,1.9378522864203354,0.9756858608076284,365
Liberia,63.73,0.48,541.2712433800713,Africa,LI,4.818970214843739,1.0942312316339,1.24296168218019,0.41588512949513345,0.7853803998608487,365
Madagascar,66.681,0.527,490.0979585607875,Africa,LI,26.26230078125,0.864084936773995,0.951053070130837,0.430280582246658,0.6009344062787948,365
Malawi,63.798,0.478,515.1098153814952,Africa,LI,18.14319921875,0.839067533445243,0.880373097520357,1.3039533588597154,0.5562744091551463,365
Mozambique,60.163,0.452,592.5108489286703,Africa,LI,29.4959999999999,0.673376406457668,0.799172895887295,0.5095742067769681,0.5049670778498916,365
Nepal,70.478,0.596,817.5521748421545,Asia-Pacific,LI,28.0956992187499,0.872879462458188,1.18944205144603,1.9254045361083216,0.7515633726837341,365
Nicaragua,74.275,0.659,1857.056685484503,Central America/Caribbean,LM,6.46549999999997,1.70394066392329,1.4274634651417,0.6507491379104519,0.9019600870344584,365
Niger,62.024,0.391,552.3241114520821,Africa,LI,22.44280078125,1.51558982768914,1.54336965012001,1.1859323369708588,0.9751968144490483,365
Nigeria,54.332,0.534,2384.1735800893425,Africa,LM,195.875,0.977371199923445,1.08772146414212,1.5819333448143007,0.687289987046699,365
Pakistan,67.114,0.552,1196.8260549974614,Asia-Pacific,LM,212.22799999999899,0.679984815121994,0.771034468900011,2.307652235541018,0.4871874718044618,365
Philippines,71.095,0.711,3187.9682328341974,Asia-Pacific,LM,106.651,1.08113035702614,1.46785605512825,2.852266514669989,0.9274826344547521,365
Rwanda,68.7,0.54,845.3991220939754,Africa,LI,12.3019999999999,0.640446079373737,0.759336481108654,1.9380211977481747,0.479795956473894,365
Sao Tome and Principe,70.17,0.624,1296.7473518125394,Africa,LM,0.211027999877928,0.952368578194114,1.28480353016925,1.663239537316677,0.8118186785106976,365
Senegal,67.665,0.516,1547.1008055964805,Africa,LM,15.854299804687399,1.17088045834695,1.41202258167216,1.273619995627285,0.8922035777169379,365
Sierra Leone,54.309,0.447,472.8260290549115,Africa,LI,7.6501499023437205,0.972490086305308,1.1336960483759,1.135969787509663,0.7163395851691678,365
Somalia,57.068,NA,NA,Africa,LI,15.0082001953126,0.868686012387237,1.01602168924525,1.242130405365088,0.6419856154914436,365
Sri Lanka,76.812,0.779,4028.206815880475,Asia-Pacific,LM,21.22880078125,1.00456315517257,1.51318595497033,3.3317707323411248,0.9561248809326801,365
State of Palestine,73.895,0.708,2805.316915716577,Middle East/Central Asia,LM,4.86297998046873,0.300103060315039,1.14159590324971,11.900939197137175,0.7213312041937809,365
Sudan,65.095,0.506,1589.5984593854364,Africa,LM,41.8014999999998,1.41677243929789,1.47523751936257,1.0833707094234333,0.9321467020724603,365
Syrian Arab Republic,71.779,0.563,NA,Middle East/Central Asia,LM,16.9450996093749,0.970242325630382,1.3370039365208,2.7466468615728137,0.8448021377766091,365
Tajikistan,70.879,0.661,1073.0230007779585,Middle East/Central Asia,LI,9.100830078125009,0.903605663507877,1.1276497284206,2.370988606836757,0.7125191446421109,365
"Tanzania, United Republic of",65.015,0.524,931.3041204253866,Africa,LI,56.3133984374997,1.15075215591631,1.17295279484151,1.192048506568752,0.7411444360977318,365
Timor-Leste,69.26,0.599,839.8858211204004,Asia-Pacific,LM,1.26796997070312,0.392979838245063,0.592356130603373,0.3555300862704275,0.3742873987050707,365
Togo,60.76,0.51,676.9881070921215,Africa,LI,7.8890898437500105,0.786705559799033,1.04373127996458,1.7574322179710524,0.6594942561447545,365
Uganda,62.973,0.538,933.7148072737464,Africa,LI,42.7290000000001,1.0230729608773,1.0589566182808,2.2672085339639483,0.6691145706453877,365
Uruguay,77.77,0.816,14617.543247214457,South America,UM,3.44928002929686,9.301995010477,1.25862051771198,0.13503533782626723,0.7952746248298286,365
Yemen,66.096,0.468,632.9095886640682,Middle East/Central Asia,LM,28.4986992187499,0.333062129060227,0.508541708003883,1.3573733225035327,0.32132824020564493,365
Zambia,NA,0.582,1678.1814641262492,Africa,LM,17.3516992187499,1.16893250926971,1.28402900804586,0.7281323516406997,0.8113292873221437,365
Zimbabwe,NA,0.569,1305.8010537606497,Africa,LI,14.4387998046875,1.04578933750163,1.21568831532159,1.9551753104456824,0.7681473925396676,365
Vanuatu,70.323,0.603,2864.828553309515,Asia-Pacific,LM,0.292679992675782,NA,NA,NA,NA,NA
